"LAB_ORIGID","LAB_PREFIX","LAB_FACLTY","CNTRY","LAB_ACTIVE","LAB_MTD","LAB_URL","LAB_SOURCE","CREATED_AT","UPDATED_AT"
165,"NZ","Rafter Radiocarbon Lab","NZL","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
166,"NZA","Rafter (AMS)","NZL","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
167,"O","Humble Oil & Refining","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
168,"OBDY","ORSTOM Bondy","FRA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
169,"OR","Research Center of Radioisotopes","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
170,"ORINS","Oak Ridge Inst. of Nuclear Studies","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
171,"OS","National Ocean Sciences, AMS Facility Woods Hole Oceanographic Inst.","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
172,"OWU","Ohio Wesleyan Univ.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
173,"OX","USDA (Oxford, Miss.)","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
174,"OxA","Oxford Radiocarbon Accelerator Unit","GBR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
175,"OZ","ANSTO-ANTARES","AUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
176,"LZ","Umweltforschungszentrum Leipzig-Halle UFZ","DEU","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
177,"Beta-","Beta Analytics","USA","","C14","","HM: Internet","2021-11-19 12:11:05.011 +0100","2023-11-15 15:38:07.687 +0100"
178,"P","Max-Planck-lnstitut Geochron. Lab","DEU","","C14, Lead-210","","Radiocarbon, modified","2021-11-19 12:11:05.011 +0100","2023-09-29 07:49:43.481 +0200"
179,"p","Univ. of Pennsylvania","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
180,"PAL","Palynosurvery Co.","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
181,"Pi","Pisa","ITA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
182,"PI","Permafrost Inst.","RUS","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
183,"PIC","Packard","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
184,"PITT","Univ. of Pittsburgh","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
185,"Poz","Poznan","POL","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
186,"Pr","Prague","CZE","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
187,"PKU","Peking Univ.","CHN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
188,"PKUAMS","Peking Univ. AMS lab","CHN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
189,"PL","Purdue Rare Isotope Measurement Lab","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
190,"PLD","Paleo Labo. Co., Ltd.","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
191,"PRI","PaleoResearch Inst.","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
192,"PRL","Radiocarbon Dating Research Unit","IND","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
193,"PRLCH","Physical Research Lab.","IND","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
194,"PSU","Penn State Univ.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
195,"PSUAMS","Penn State Univ.","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
196,"Pta","Pretoria","ZAF","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
197,"Q","Cambridge","GBR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
198,"QL","Quaternary Isotope Lab.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
199,"QC","Queens College","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
200,"QU","Centre de Recherches Canada Minerales, Quebec","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
201,"R","Rome","ITA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
202,"RCD","Radiocarbon Dating","GBR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
203,"RCMib","Milano Bicocca Univ.","ITA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
204,"Rl","Radiochemistry, Inc.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
205,"RICH","Royal Inst. for Cultural Heritage","BEL","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
206,"RIDDL","Simon Fraser Univ.","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
207,"Riga","Inst. of Science","LVA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
208,"RL","Radiocarbon, Ltd.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
209,"roams","National Inst. for Physics and Nuclear Engineering","ROU","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
210,"Rome","Dept, of Earth Sciences, Rome","ITA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
211,"RT","Rehovot","ISR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
212,"RTK","Rehovot","ISR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
213,"RU","Rice Univ.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
214,"S","Saskatchewan","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
215,"Sa","Saclay, Gif-sur-Yvette","FRA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
216,"Sac","Inst.o Tecnologico Portugal e Nuclear","PRT","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
217,"Sac A","Gif sur Yvette (Saclay)","FRA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
218,"SANU","ANU Canberra","AUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
219,"SPb","Herzen State Univ.","RUS","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
220,"SFU","Simon Fraser Univ.","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
221,"Sh","Shell Development Co.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
222,"SI","Smithsonian Inst.ion","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
223,"SL","Sharp Laboratories","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
224,"SM","Mobil Oil Corp., Dallas","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
225,"SMU","Southern Methodist Univ.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
226,"SNU","Seoul National Univ.","KOR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
227,"T","Trondheim","NOR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
228,"TB","Tbilisi","GEO","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
229,"TBNC","Kaman Instruments","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
230,"TEM","Temple Univ.","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
231,"TF","Tata Inst. of Fundamental Research","IND","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
232,"TK","Univ. of Tokyo","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
233,"TKA","Univ. Museum, Univ. of Tokyo","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
234,"TKa","Univ. of Tokyo-AMS","JPN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
235,"TKU","Turku","FIN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
236,"Tin","Tallinn","EST","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
237,"TO","IsoTrace Lab.","CAN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
238,"TUBITAK","TUBiTAK National AMS Lab.","TUR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
239,"TRa","Trondheim (AMS)","NOR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
