UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
379,PAL00385,Potter's Bog_core1,POTTER,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
380,PAL00386,Poverty Bay Core W396,W396,5,-9999,9,,63,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
381,PAL00387,Powelltown_core1,POWELLT,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
382,PAL00388,Pukekawa Crater HA1,HA1,5,7,-9999,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
383,PAL00389,Quagmire Tarn_core1,QUAGMIRE,5,20,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
384,PAL00390,Quambie Lagoon_core1,QUAMBIE,5,-9999,111,,1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
385,PAL00391,Queens Swamp Core QS 3,QS3,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
386,PAL00391,QS-Monolith,QSMON,6,5,84,08.02.22,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
387,PAL00344,Quincan Crater_core1,QUINCAN,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
388,PAL00392,TAS1606SC2,TAS1606SC2,5,19,111,,1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
389,PAL00393,Redhead Lagoon E12b,REDE12B,5,21,111,,2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
390,PAL00393,Redhead Lagoon E12c,REDE12C,5,21,111,,2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
