"SMPAGEID","SAMPLEID","CHRONLGYID","AGE","AGEYOUNGER","AGEOLDER","CREATED_AT","UPDATED_AT"
3847,3707,85,2158,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3848,3709,84,2079,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3849,3709,85,2198,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3850,3711,84,2115,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3851,3711,85,2236,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3852,3713,84,2154,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3853,3713,85,2276,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3854,3715,84,2192,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3855,3715,85,2316,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3856,3717,84,2233,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3857,3717,85,2360,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3858,3719,84,2254,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3859,3719,85,2382,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3860,3721,84,2301,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3861,3721,85,2431,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3862,3723,84,2333,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3863,3723,85,2450,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3864,3725,84,2358,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3865,3725,85,2464,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3866,3727,84,2388,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3867,3727,85,2482,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3868,3729,84,2415,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3869,3729,85,2498,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3870,3731,84,2440,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3871,3731,85,2513,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3872,3733,84,2468,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3873,3733,85,2530,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3874,3735,84,2495,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3875,3735,85,2546,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3876,3737,84,2510,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3877,3737,85,2554,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3878,3739,84,2522,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3879,3739,85,2562,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3880,3741,84,2570,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3881,3741,85,2590,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3882,3743,84,2581,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3883,3743,85,2599,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3884,3745,84,2600,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3885,3745,85,2612,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3886,3747,84,2619,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3887,3747,85,2626,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3888,3749,84,2630,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3889,3749,85,2635,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
