CALPROGID,CALPROGRAM,CALPROGVER,CALPROGREF,PARENTID,CALPRODATE,CALPRONOTE,CREATED_AT,UPDATED_AT
185,Bacon,rbacon 2.3.8,,176,,,2023-06-16 09:56:22.112 +0200,
186,Bacon,rbacon 2.3.9.1,,176,,,2023-06-16 09:56:22.112 +0200,
187,plum (non-specific),,AquinoLopez:2018plum,6,,,2023-06-16 09:56:22.112 +0200,
188,rplum,rplum 0.1.4,Blaauw:2020rplum,187,04.05.2020,For version details see https://cran.r-project.org/web/packages/rplum/index.html,2023-06-16 09:56:22.112 +0200,2023-06-16 10:10:12.649 +0200
189,rplum,rplum 0.1.5.1,Blaauw:2020rplum,187,11.08.2020,For version details see https://cran.r-project.org/web/packages/rplum/index.html,2023-06-16 09:56:22.112 +0200,2023-06-16 13:15:05.950 +0200
190,rplum,rplum 0.2.0,Blaauw:2020rplum,187,17.04.2021,For version details see https://cran.r-project.org/web/packages/rplum/index.html,2023-06-16 09:56:22.112 +0200,2023-06-16 13:15:06.369 +0200
191,rplum,rplum 0.2.1,Blaauw:2020rplum,187,15.05.2021,For version details see https://cran.r-project.org/web/packages/rplum/index.html,2023-06-16 09:56:22.112 +0200,2023-06-16 13:15:06.674 +0200
192,rplum,rplum 0.2.2,Blaauw:2020rplum,187,02.06.2021,For version details see https://cran.r-project.org/web/packages/rplum/index.html,2023-06-16 09:56:22.112 +0200,2023-06-16 13:15:06.970 +0200
193,rplum,rplum 0.3.0,Blaauw:2020rplum,187,23.12.2022,For version details see https://cran.r-project.org/web/packages/rplum/index.html,2023-06-16 09:56:22.112 +0200,2023-06-16 13:15:07.267 +0200
194,Other (non-specific),,,194,,,2023-06-16 09:56:22.112 +0200,
